;CUST_ID;BALANCE;PURCHASES;ONEOFF_PURCHASES;INSTALLMENTS_PURCHASES;CASH_ADVANCE;CASH_ADVANCE_TRX;PURCHASES_TRX;CREDIT_LIMIT;PAYMENTS;MINIMUM_PAYMENTS;PRC_FULL_PAYMENT;BALANCE;PURCHASES;ONEOFF_PURCHASES;PURCHASES_INSTALLMENTS;CASH_ADVANCE;TENURE
;C13610;10124,47214;4795,49;2006,02;2789,47;0;0;87;15000;2552,784306;2780,902332;0;1;1;0,666667;1;0;12
;C14877;24,176932;189,85;189,85;0;0;0;4;3000;184,60455;100,687061;0;1;0,333333;0,333333;0;0;12
;C15211;4295,964134;0;0;0;4505,063338;18;0;7500;934,137744;1259,264875;0;1;0;0;0;0,416667;12
;C12112;4612,935167;158,2;0;158,2;5391,599959;9;3;6000;756,247099;1379,468717;0;0,9;0,3;0;0,2;0,4;10
;C14771;253,640197;2607,88;1142,96;1464,92;73,579253;1;43;4000;1954,784637;154,583752;0,583333;0,909091;0,833333;0,833333;0,666667;0,083333;12
;C15834;152,255187;894,28;894,28;0;0;0;5;4000;304,061592;84,043137;0;0,833333;0,5;0,5;0;0;6
;C18673;5,629313;62,72;0;62,72;0;0;4;1500;31,523069;29,715632;0;0,222222;0,444444;0;0,444444;0;9
;C12229;121,024256;1850,23;0;1850,23;0;0;18;14000;1826,882329;176,632334;0,833333;1;1;0;0,916667;0;12
;C15981;1105,969915;0;0;0;291,608512;7;0;1200;366,079307;463,040434;0;1;0;0;0;0,416667;12
;C12112;4612,935167;158,2;0;158,2;5391,599959;9;3;6000;756,247099;1379,468717;0;0,9;0,3;0;0,2;0,4;10
;C13513;642,939211;0;0;0;1936,701702;5;0;1950;3997,53568;308,839052;0,25;0,545455;0;0;0;0,166667;12
;C13625;41,301246;655,79;655,79;0;0;0;13;6000;685,985441;185,521414;1;1;1;1;0;0;12
;C16600;3271,129597;4209,98;556,22;3653,76;1058,425793;9;74;10300;6965,162385;2492,306544;0;1;1;0,416667;1;0,416667;12
;C18672;95,802358;218,96;0;218,96;0;0;10;2500;120,526564;161,17012;0;1;0,909091;0;0,909091;0;11
;C13505;3333,963106;934,07;841,07;93;0;0;19;11500;867,272423;935,819727;0;1;0,916667;0,916667;0,416667;0;12
;C10255;435,862142;1646,16;1023,42;622,74;0;0;33;12000;1055,835407;236,619362;0;1;1;0,583333;0,75;0;12
;C18372;8,087225;515;0;515;0;0;17;3000;399,456368;14,574311;0;0,363636;0,833333;0;0,75;0;12
;C12958;115,340163;54,67;0;54,67;727,568806;2;2;1200;410,867044;115,03558;0;1;0,166667;0;0,166667;0,166667;12
;C17710;215,475718;670,65;300;370,65;0;0;18;3000;366,634123;185,037922;0,3;1;1;0,083333;0,916667;0;12
;C11732;23,331936;1194,96;0;1194,96;0;0;17;1600;1381,551722;28,452913;0;0,454545;1;0;1;0;12
;C16329;1328,483504;1507,26;1011,6;495,66;2554,86412;33;22;2000;2281,634116;926,600197;0,111111;0,909091;0,818182;0,636364;0,545455;0,727273;11
;C16385;3269,961382;0;0;0;1722,645697;10;0;4000;949,187748;990,007312;0;1;0;0;0;0,416667;12
;C18731;0;113;0;113;0;0;5;4000;268,521412;;0;0;0,333333;0;0,333333;0;12
;C16940;1532,106106;1478,98;934,6;544,38;0;0;27;3000;1016,511227;377,143061;0;1;0,916667;0,25;0,833333;0;12
;C12417;994,367302;0;0;0;4058,539188;15;0;10000;168,100048;237,414459;0;0,857143;0;0;0;0,571429;7
;C19146;32,669762;340;0;340;0;0;8;1000;465,400577;80,708132;1;0,571429;0,571429;0;0,428571;0;7
;C17981;25,201833;609,01;0;609,01;0;0;50;3000;513,138281;44,804433;0,181818;0,454545;1;0;1;0;12
;C12230;1003,704494;50;50;0;457,650652;5;1;3500;3389,03546;260,16707;0;0,818182;0,083333;0,083333;0;0,25;12
;C15353;77,523872;325;0;325;117,402685;2;10;6500;408,437645;208,322149;0,166667;1;0,833333;0;0,75;0,166667;12
;C17499;677,778395;0;0;0;1361,306734;2;0;1500;1515,946459;143,812331;0;0,75;0;0;0;0,125;8
;C16507;36,40909;1091,7;1091,7;0;226,784069;1;12;3000;2363,934071;160,554292;0,6;1;0,916667;0,916667;0;0,083333;12
;C10728;1546,216153;0;0;0;2196,107878;5;0;3000;247,706733;310,58347;0;0,833333;0;0;0;0,166667;6
;C17884;1,344661;785,9;0;785,9;0;0;20;3000;789,264325;0,319475;0;0,181818;1;0;1;0;12
;C12459;126,289657;366,68;0;366,68;175,284005;2;4;3000;679,431948;126,692506;0,181818;0,909091;0,333333;0;0,333333;0,166667;12
;C16291;2043,78838;0;0;0;5997,514998;9;0;6500;8075,826793;495,373116;0,25;1;0;0;0;0,5;12
;C17441;290,079966;550,93;0;550,93;0;0;17;4000;579,825344;454,611106;0;1;0,583333;0;0,583333;0;12
;C15233;1848,758853;3588,13;399,76;3188,37;0;0;62;6700;4923,193295;413,007713;0;1;1;0,583333;1;0;12
;C17378;34,40685;133;0;133;0;0;6;1500;153,124928;152,925044;0;1;0,5;0;0,333333;0;12
;C12010;8,286935;125;0;125;0;0;10;3000;125,140043;82,820029;0,2;0,727273;0,833333;0;0,75;0;12
;C13517;3197,652201;0;0;0;4179,249342;2;0;5000;6103,93835;759,570108;0,083333;1;0;0;0;0,166667;12
;C17376;1623,895229;0;0;0;352,784134;11;0;1700;729,695998;419,674095;0;1;0;0;0;0,583333;12
;C14016;5797,6687;0;0;0;4639,195255;12;0;6000;1936,745052;2327,030849;0;1;0;0;0;0,666667;12
;C19075;191,37693;510;0;780;0;0;7;1000;459,17484;128,231992;0;1;0,555556;0;0,444444;0;9
;C10695;331,586253;3703,36;1653,98;2049,38;0;0;54;7500;3229,189675;195,370312;0,916667;1;1;1;1;0;12
;C18464;792,349098;0;0;0;1795,077768;13;0;2000;219,603033;286,451636;0;0,555556;0;0;0;0,444444;9
;C14269;48,933642;632,84;0;632,84;0;0;21;1500;626,111312;168,599543;1;1;1;0;1;0;12
;C16526;6398,233171;0;0;0;233,38167;1;0;9500;1693,270011;2525,860166;0;1;0;0;0;0,083333;12
;C13231;9629,808851;0;0;0;4372,393835;9;0;12000;2468,988022;2134,295731;0;1;0;0;0;0,545455;11
;C15628;742,730997;6236,64;4613,7;1622,94;0;0;49;3750;8529,330225;256,82014;0,833333;1;1;1;1;0;12
;C16888;605,744452;119;119;0;0;0;1;1800;253,057215;445,55812;0;1;0,083333;0,083333;0;0;12
;C11637;2000,797758;1037,5;0;1037,5;0;;5;7500;1864,665644;450,605909;0,272727;1;0,416667;0;0,416667;0;12
;C11459;697,525591;462,38;45,65;416,73;345,3272;1;12;1000;134,938594;376,703445;0;1;0,5;0,083333;0,5;0,083333;12
;C13934;1863,787327;0;0;0;1998,061069;1;0;3000;749,522371;439,864871;0;1;0;0;0;0,083333;12
;C10305;41,833264;456,36;0;456,36;0;0;14;6000;370,996177;163,287618;0,333333;1;1;0;0,916667;0;12
;C13085;982,165343;435,72;45,65;390,07;0;0;20;2300;917,52463;1319,508567;0;1;0,5;0,083333;0,5;0;12
;C16357;970,862162;563,82;563,82;0;0;0;10;2950;350,164857;373,629996;0;1;0,833333;0,833333;0;0;12
;C13580;1710,418727;0;0;0;2813,620582;9;0;2500;1337,799917;508,122732;0;0,8;;0;0;0,3;10
;C14140;379,542951;0;0;0;925,399531;1;0;1500;2651,530544;190,383316;0,166667;0,545455;0;0;0;0,083333;12
;C11112;15,216647;133;133;0;0;0;2;1200;780,127863;89,546616;0;0,272727;0,166667;0,166667;0;0;12
;C14058;4,160112;70,56;0;70,56;0;0;12;6000;54,598522;41,07052;0,222222;1;1;0;1;0;12
;C17136;22,366132;502,54;502,54;0;0;0;8;450;907,540077;58,37452;0;0,636364;0,416667;0,416667;0;0;12
;C16810;1465,996562;2498,92;222,99;2275,93;0;0;36;3500;676,452393;421,840324;0;1;1;0,166667;1;0;12
;C16297;1621,219401;98,4;98,4;0;2745,571593;16;13;4000;3592,092848;567,227496;0,166667;1;1;1;0;0,583333;12
;C18697;602,210858;965;965;0;0;0;5;1200;258,748232;210,582556;0;1;0,25;0,25;0;0;12
;C13097;3380,990237;984,31;984,31;0;508,157584;4;12;3800;1694,781649;2591,170425;0;1;1;1;0;0,25;12
;C15472;1952,189994;297,59;99,59;198;55,219714;2;7;2500;634,780319;658,460719;0;1;0,5;0,083333;0,416667;0,166667;12
;C13147;216,595085;270,21;270,21;0;232,881575;2;12;6000;453,391188;199,633262;0;1;1;1;0;0,083333;12
;C12370;986,583117;0;0;0;1350,155793;1;0;1500;276,229102;362,442402;0;0,727273;0;0;0;0,090909;11
;C14363;1832,539694;1311,8;1076,16;235,64;0;0;30;2500;384,218293;652,773095;0;1;0,75;0,5;0,416667;0;12
;C10714;1943,792266;83,35;0;83,35;0;0;1;4000;290,353132;276,463002;0;1;0,142857;0;0,142857;0;7
;C18775;35,518273;283,8;0;283,8;0;0;10;2500;302,73613;171,008635;0,666667;0,909091;0,833333;0;0,75;0;12
;C17220;73,635031;1063,65;420,24;643,41;0;0;29;7000;1051,282851;112,969341;0,625;0,909091;1;0,25;1;0;12
;C12744;2376,965338;0;0;0;1321,906162;4;0;3000;549,457948;557,916999;0;1;0;0;0;0,333333;12
;C17451;240,439583;481,01;481,01;0;461,403602;6;4;1200;139,715889;174,17913;0;0,545455;0,333333;0,333333;0;0,333333;12
;C19048;385,462843;427,1;50;377,1;809,585272;6;25;1000;343,125132;334,254826;0;0,9;0,9;0,1;0,8;0,5;10
;C17275;11,441738;93,6;0;93,6;0;0;3;1900;603,723258;130,224347;0,25;0,363636;0,25;0;0,25;0;12
;C17846;349,788099;400,6;400,6;0;0;0;6;450;308,109946;170,326506;0;1;0,416667;0,416667;0;0;12
;C16249;9749,239122;1552,63;0;1552,63;5139,766338;12;68;11000;2999,648846;4415,280009;0;1;1;0;1;0,416667;12
;C17950;1,199105;20;20;0;0;0;1;500;182,462948;107,00915;0;0,272727;0,083333;0,083333;0;0;12
;C10904;716,017731;0;0;0;3943,873219;4;0;12000;232,136896;267,035943;0;1;0;0;0;0,166667;12
;C14217;2785,584338;0;0;0;144,330518;1;0;3000;446,776969;733,62973;0;1;0;0;0;0,1;10
;C16337;2212,921154;52,9;52,9;0;2035,862807;19;1;3500;704,408044;601,028911;0;1;0,083333;0,083333;0;0,583333;12
;C14350;8477,970766;4837,88;2945,5;1892,38;289,117803;1;36;15500;3695,744108;2794,373573;0;1;1;0,333333;0,916667;0,083333;12
;C17001;3,76029;45;0;45;0;0;2;3000;1895,798955;68,967179;0;0,181818;0,083333;0;0,083333;0;12
;C12255;390,55064;1261,99;1141,99;120;0;0;16;3000;18,496532;1151,777196;0;1;0,5;0,416667;0,416667;0;12
;C11670;502,653982;4748,5;1845,75;2902,75;0;0;82;12000;4517,823754;205,244926;0,583333;1;1;1;1;0;12
;C17273;870,882167;1976,5;1276,5;700;146,371963;1;18;1500;467,583907;302,185679;0;1;1;0,545455;0,727273;0,090909;11
;C17630;9220,534572;1420,31;777,66;642,65;9816,782544;29;77;12500;4257,372749;4696,075967;0;1;1;0,25;1;0,833333;12
;C10376;813,068705;439,38;439,38;0;727,658311;8;2;1200;237,996469;265,708814;0;1;0,083333;0,083333;0;0,25;12
;C14304;869,702973;370,74;138,54;232,2;710,440728;15;11;1000;540,848608;215,056881;0;1;0,916667;0,166667;0,666667;0,416667;12
;C16931;947,223495;0;0;0;648,548716;3;0;6500;2415,827922;3933,230932;0;1;0;0;0;0,25;12
;C16530;413,331088;0;0;0;708,62821;11;0;500;453,051033;131,544615;0;1;0;0;0;0,777778;9
;C10676;1043,249828;281,25;0;281,25;1361,24762;4;9;1200;634,96657;965,13244;0;1;1;0;0,888889;0,444444;9
;C12006;5598,864288;7194,53;6678,26;516,27;14200,89313;37;69;15500;12487,36815;2074,900111;0,083333;1;1;1;1;0,833333;12
;C16929;177,551278;66,25;0;66,25;0;0;5;2500;2283,641666;3116,67911;0;0,636364;0,416667;0;0,416667;0;12
;C14997;3083,784255;0;0;0;737,652849;2;0;5500;1033,581612;746,430888;0;1;0;0;0;0,166667;12
;C17629;36,979201;0;0;0;4262,120108;2;0;2500;22099,47812;173,24367;0;0,181818;0;0;0;0,166667;12
;C12879;1738,454303;0;0;0;187,666429;3;0;7000;500,128525;407,848117;0;1;0;0;0;0,25;12
;C10511;155,644239;1626,83;828,85;797,98;0;0;17;13000;1924,101393;123,522314;0,571429;0,727273;0,75;0,75;0,166667;0;12
;C14889;2689,895528;0;0;0;270,201463;1;0;2900;639,484442;640,261805;0;1;0;0;0;0,083333;12
;C14164;4663,032241;1325,31;1325,31;0;0;0;5;4500;2064,110786;6004,094182;0;1;0,333333;0,333333;0;0;12
;C15481;34,195309;211,56;0;211,56;0;0;12;1000;188,66041;153,221194;0,5;1;1;0;1;0;12
;C11323;43,124063;491,43;491,43;0;0;0;7;2100;714,720575;129,562455;1;0,727273;0,545455;0,545455;0;0;11
;C10643;16,371699;190;0;190;0;0;3;4000;322,114468;139,674841;0,5;0,3;0,2;0;0,2;0;10
;C13213;9753,114706;10199,63;4585,44;5614,19;113,120409;2;131;15000;8292,65306;2296,958624;0;1;1;0,916667;1;0,166667;12
;C11915;2720,959921;66,49;0;66,49;457,611102;7;3;3000;967,657856;1317,330243;0;1;0,166667;0;0,166667;0,333333;12
;C12608;74,254958;952,16;463,04;489,12;0;0;24;7000;913,302873;174,963013;1;1;1;0,916667;0,583333;0;12
;C15616;249,489629;0;0;0;3689,517625;8;0;6000;0;;0;0,181818;0;0;0;0,166667;12
;C14032;9061,317491;0;0;0;366,077141;1;0;10000;2524,110566;4676,178874;0;1;0;0;0;0,083333;12
;C19013;2585,246439;338;0;338;0;0;6;9000;866,276894;776,501849;0;0,909091;0,545455;0;0,454545;0;11
;C11440;931,047119;494;444;50;0;0;7;4000;415,139393;354,783499;0;1;0,333333;0,25;0,083333;0;12
;C10874;4438,521324;591,84;109,16;482,68;564,365429;3;11;17000;5552,601399;1094,486286;0;1;0,636364;0,181818;0,454545;0,272727;11
;C12873;6043,926807;0;0;0;538,044813;17;0;6500;1454,548208;3032,250188;0;1;0;0;0;0,583333;12
;C12172;3287,231954;0;0;0;3190,532048;3;0;8500;1339,9697;880,459505;0;1;0;0;0;0,25;12
;C12652;975,820862;66,72;0;66,72;0;0;4;1000;254,277454;199,50774;0;1;0,333333;0;0,333333;0;12
;C13830;1632,580058;0;0;0;115,413927;3;0;1800;1839,752683;4397,363594;0;1;0;0;0;0,25;12
;C12665;1872,934017;382,5;310;72,5;0;0;7;1950;463,938794;1005,849526;0;1;0,416667;0,416667;0,083333;0;12
;C11758;2391,214539;4186,49;3313;873,49;0;0;50;4000;2710,98198;561,918093;0;1;1;0,916667;0,916667;0;12
;C14298;1604,476717;2619,7;2619,7;0;3041,40624;3;10;6000;2045,152399;330,428974;0,142857;0,8;0,6;0,6;0;0,3;10
;C11397;148,826903;3386,58;3386,58;0;47,494639;1;16;16500;4474,571671;138,674322;1;0,727273;0,583333;0,583333;0;0,083333;12
;C17735;844,022439;0;0;0;1125,228876;3;0;2500;535,604592;237,229776;0;1;0;0;0;0,166667;12
;C17594;807,555134;242,06;0;242,06;0;0;6;1000;1610,237285;504,351185;0;0,818182;0,5;0;0,5;0;12
;C13009;1,151323;60,3;60,3;0;0;0;1;1200;697,573197;;0;0,181818;0,083333;0,083333;0;0;12
;C14831;158,634812;1765,38;84,8;1680,58;0;0;24;9500;1661,464986;135,26688;0,666667;0,909091;0,666667;0,083333;0,583333;0;12
;C15494;1478,552756;479,1;311,1;168;901,677781;1;11;4500;4774,597215;478,802097;0;1;0,5;0,416667;0,5;0,083333;12
;C15841;92,902071;812,74;618,4;194,34;0;0;18;4000;708,651818;176,003434;0,583333;1;1;1;0,416667;0;12
;C12552;1031,936983;2308;608;1700;0;0;9;3000;245,914697;564,472958;0;0,727273;0,416667;0,083333;0,333333;0;12
;C11341;421,475963;2218,26;0;2218,26;0;0;11;4500;2031,739917;4522,22913;0;1;0,916667;0;0,916667;0;12
