CUST_ID,BALANCE,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,BALANCE.1,PURCHASES.1,ONEOFF_PURCHASES.1,PURCHASES_INSTALLMENTS,CASH_ADVANCE.1,TENURE
C19185,193.571722,1012.73,1012.73,0.0,0.0,0.0,2,4000.0,0.0,,0.0,0.833333,0.333333,0.333333,0.0,0.0,6.0
C18570,1551.331695,349.92,0.0,349.92,0.0,0.0,12,1500.0,321.763599,7433.189695,0.0,1.0,1.0,0.0,1.0,0.0,12.0
C12451,2544.036536,0.0,0.0,0.0,107.710567,1.0,0,7000.0,1064.575065,587.957563,0.0,1.0,0.0,0.0,0.0,0.083333,12.0
C16270,398.65758,1331.25,349.47,981.78,647.982323,2.0,20,6000.0,343.581118,132.768622,0.0,1.0,1.0,0.333333,0.888889,0.111111,9.0
C13469,1299.092905,323.99,323.99,0.0,10614.20378,19.0,1,8500.0,2222.007132,1109.569412,0.0,1.0,0.083333,0.083333,0.0,0.25,12.0
C12407,400.69973,3108.01,0.0,3108.01,0.0,0.0,16,10500.0,3166.91554,175.704497,0.545455,1.0,1.0,0.0,1.0,0.0,12.0
C13089,2380.291402,1433.2,487.74,945.46,254.450638,3.0,33,7000.0,1877.023036,616.430163,0.0,1.0,0.666667,0.416667,0.583333,0.166667,12.0
C15686,26.982025,237.6,0.0,237.6,0.0,0.0,2,2500.0,0.0,,0.0,0.181818,0.166667,0.0,0.083333,0.0,12.0
C13113,6995.3025,999.77,0.0,999.77,6507.113368,16.0,14,8000.0,2863.397049,2553.534465,0.0,1.0,0.75,0.0,0.75,0.583333,12.0
C16410,1155.9765,0.0,0.0,0.0,1115.92003,2.0,0,1500.0,1298.142663,443.370345,0.0,1.0,0.0,0.0,0.0,0.166667,12.0
C16046,2306.682105,280.0,280.0,0.0,1708.514116,15.0,3,3000.0,3344.167438,543.795825,0.0,1.0,0.166667,0.166667,0.0,0.666667,12.0
C13207,1384.792038,133.34,0.0,133.34,0.0,0.0,4,2900.0,1877.881775,547.387346,0.0,1.0,0.333333,0.0,0.333333,0.0,12.0
C11713,2885.068871,0.0,0.0,0.0,255.676579,3.0,0,3000.0,712.676699,618.776921,0.0,1.0,0.0,0.0,0.0,0.25,12.0
C14385,19.548437,266.56,84.0,182.56,0.0,0.0,9,4500.0,395.242487,199.880942,0.857143,0.727273,0.666667,0.083333,0.583333,0.0,12.0
C12264,203.024867,542.94,0.0,542.94,0.0,0.0,8,4000.0,955.283993,163.678855,0.0,0.818182,0.416667,0.0,0.416667,0.0,12.0
C10765,1439.343061,571.91,571.91,0.0,0.0,0.0,5,2100.0,2573.55754,756.220978,0.0,0.909091,0.25,0.25,0.0,0.0,12.0
C19131,85.936062,492.03,0.0,492.03,0.0,0.0,7,1000.0,409.433171,96.364159,1.0,1.0,1.0,0.0,0.857143,0.0,7.0
C10240,279.608696,3034.92,0.0,3034.92,0.0,0.0,12,2900.0,2928.909865,2733.317012,0.083333,1.0,1.0,0.0,1.0,0.0,12.0
C11408,2054.372848,833.28,0.0,833.28,0.0,0.0,24,4000.0,1020.782939,1329.038006,0.0,1.0,1.0,0.0,1.0,0.0,12.0
C12160,120.220573,1348.08,230.43,1117.65,0.0,0.0,50,12000.0,1196.209266,183.557875,0.75,1.0,1.0,0.583333,1.0,0.0,12.0
C12537,510.504804,57.0,57.0,0.0,10239.08859,6.0,1,12500.0,15043.66508,256.881348,0.142857,0.727273,0.083333,0.083333,0.0,0.166667,12.0
C13066,78.44322,1367.73,0.0,1367.73,0.0,0.0,58,6000.0,1229.147513,164.423401,1.0,1.0,1.0,0.0,1.0,0.0,12.0
C10181,1608.451822,0.0,0.0,0.0,205.737165,2.0,0,1800.0,470.565984,408.799147,0.0,1.0,0.0,0.0,0.0,0.166667,12.0
C13569,127.727053,0.0,0.0,0.0,341.642911,2.0,0,11000.0,1489.306631,167.320117,0.0,1.0,0.0,0.0,0.0,0.083333,12.0
C13837,1128.38317,0.0,0.0,0.0,74.22288,2.0,0,1200.0,285.277888,300.062626,0.0,1.0,0.0,0.0,0.0,0.166667,12.0
C12653,5827.830678,577.98,358.02,219.96,2191.528662,7.0,13,6000.0,1771.36501,1842.75662,0.0,1.0,1.0,0.083333,1.0,0.333333,12.0
C14947,1906.703614,780.0,0.0,780.0,0.0,0.0,12,3000.0,1338.303471,598.649198,0.0,1.0,1.0,0.0,1.0,0.0,12.0
C13370,13.141343,850.44,150.0,700.44,0.0,0.0,22,1000.0,766.489028,28.116598,0.0,0.545455,1.0,0.083333,1.0,0.0,12.0
C14581,404.182321,3682.11,2473.8,1208.31,0.0,0.0,76,10000.0,3259.008834,218.502255,0.833333,1.0,1.0,1.0,1.0,0.0,12.0
C18562,184.007838,526.92,0.0,526.92,0.0,0.0,12,1500.0,396.991301,180.5486,0.083333,1.0,1.0,0.0,1.0,0.0,12.0
C17390,2283.366217,2734.77,1645.87,1088.9,4303.863961,23.0,24,9500.0,8122.574527,512.099872,0.083333,1.0,0.833333,0.583333,0.5,0.75,12.0
C16277,2507.16412,0.0,0.0,0.0,9577.424422,6.0,0,7500.0,3331.674163,706.541509,0.090909,0.818182,0.0,0.0,0.0,0.25,12.0
C16487,3191.334524,219.44,177.8,41.64,433.90772,1.0,6,9000.0,810.671862,866.819687,0.0,1.0,0.416667,0.083333,0.333333,0.083333,12.0
C15951,6223.173969,0.0,0.0,0.0,3607.876623,5.0,0,7500.0,1373.795303,1450.180855,0.0,1.0,0.0,0.0,0.0,0.25,12.0
C13508,1326.334307,2484.76,374.18,2110.58,0.0,0.0,39,7500.0,400.178807,367.804459,0.0,1.0,1.0,0.25,1.0,0.0,12.0
C13515,625.292621,1215.64,1215.64,0.0,0.0,0.0,1,2500.0,297.914805,525.056459,0.0,1.0,0.083333,0.083333,0.0,0.0,12.0
C11291,1121.833202,2940.0,750.0,2190.0,0.0,0.0,13,3500.0,1279.460209,365.872805,0.3,1.0,1.0,0.083333,0.916667,0.0,12.0
C11641,171.616134,4996.17,4726.17,270.0,0.0,0.0,35,4500.0,4736.750346,86.731068,0.666667,1.0,0.833333,0.75,0.166667,0.0,12.0
C16920,1647.860393,1510.0,0.0,1510.0,2993.136369,3.0,11,3500.0,3927.022653,1464.023513,0.083333,1.0,0.833333,0.0,0.833333,0.166667,12.0
C13688,63.264922,849.57,0.0,849.57,0.0,0.0,9,4000.0,886.592905,123.424741,0.636364,0.818182,0.75,0.0,0.75,0.0,12.0
C18180,341.901741,152.84,152.84,0.0,1008.117498,9.0,3,1200.0,0.0,,0.0,0.5,0.333333,0.333333,0.0,0.333333,6.0
C10812,298.592251,1804.09,620.16,1183.93,327.479813,3.0,27,7500.0,1672.051219,190.893951,0.181818,1.0,0.916667,0.916667,0.666667,0.25,12.0
C18598,1087.427214,0.0,0.0,0.0,1916.600175,1.0,0,3000.0,341.431225,623.084326,0.0,0.636364,0.0,0.0,0.0,0.083333,12.0
C12898,302.142293,3612.24,3340.05,272.19,0.0,0.0,35,10500.0,2866.24778,192.523653,1.0,1.0,1.0,1.0,0.083333,0.0,12.0
C12937,9.730297,99.24,0.0,99.24,0.0,0.0,8,1000.0,195.347822,104.212617,0.142857,0.636364,0.583333,0.0,0.583333,0.0,12.0
C17979,219.885039,1857.17,1367.65,489.52,0.0,0.0,16,1800.0,630.186926,210.086007,0.0,1.0,0.75,0.166667,0.583333,0.0,12.0
C15164,1241.565972,3637.75,3396.25,241.5,6419.421654,8.0,26,7000.0,8754.779769,407.886506,0.416667,1.0,0.833333,0.583333,0.5,0.333333,12.0
C17911,898.429424,495.7,495.7,0.0,1526.89916,23.0,4,1200.0,1477.267198,859.154662,0.0,1.0,0.5,0.5,0.0,0.625,8.0
C16613,226.445662,0.0,0.0,0.0,291.685333,1.0,0,1500.0,138.84951,187.570875,0.0,0.909091,0.0,0.0,0.0,0.083333,12.0
C15710,19.928467,310.64,0.0,310.64,0.0,0.0,8,9000.0,409.454228,175.245981,0.714286,0.727273,0.666667,0.0,0.583333,0.0,12.0
C13074,212.080181,618.0,333.0,285.0,0.0,0.0,7,6000.0,378.383325,169.341588,0.0,1.0,0.5,0.083333,0.333333,0.0,12.0
C14828,4070.500764,710.8,140.0,570.8,4620.069456,11.0,16,4900.0,364.205524,3231.905456,0.0,0.833333,0.833333,0.166667,0.666667,0.166667,6.0
C10395,1077.606225,343.21,343.21,0.0,1609.900552,8.0,4,1500.0,930.328071,3245.693485,0.0,0.727273,0.25,0.25,0.0,0.333333,12.0
C16672,2732.813233,245.01,245.01,0.0,2721.303612,3.0,2,5000.0,1289.823661,782.936511,0.0,1.0,0.166667,0.166667,0.0,0.25,12.0
C17826,3300.406797,459.0,170.0,289.0,3895.391723,13.0,9,5000.0,1585.23765,904.654686,0.0,1.0,0.666667,0.25,0.416667,0.416667,12.0
C11700,5148.625027,0.0,0.0,0.0,4042.791779,16.0,0,6500.0,1274.60362,1086.861867,0.0,1.0,0.0,0.0,0.0,0.833333,12.0
C13610,10124.47214,4795.49,2006.02,2789.47,0.0,0.0,87,15000.0,2552.784306,2780.902332,0.0,1.0,1.0,0.666667,1.0,0.0,12.0
C14877,24.176932,189.85,189.85,0.0,0.0,0.0,4,3000.0,184.60455,100.687061,0.0,1.0,0.333333,0.333333,0.0,0.0,12.0
C15211,4295.964134,0.0,0.0,0.0,4505.063338,18.0,0,7500.0,934.137744,1259.264875,0.0,1.0,0.0,0.0,0.0,0.416667,12.0
C12112,4612.935167,158.2,0.0,158.2,5391.599959,9.0,3,6000.0,756.247099,1379.468717,0.0,0.9,0.3,0.0,0.2,0.4,10.0
C14771,253.640197,2607.88,1142.96,1464.92,73.579253,1.0,43,4000.0,1954.784637,154.583752,0.583333,0.909091,0.833333,0.833333,0.666667,0.083333,12.0
C15834,152.255187,894.28,894.28,0.0,0.0,0.0,5,4000.0,304.061592,84.043137,0.0,0.833333,0.5,0.5,0.0,0.0,6.0
C18673,5.629313,62.72,0.0,62.72,0.0,0.0,4,1500.0,31.523069,29.715632,0.0,0.222222,0.444444,0.0,0.444444,0.0,9.0
C12229,121.024256,1850.23,0.0,1850.23,0.0,0.0,18,14000.0,1826.882329,176.632334,0.833333,1.0,1.0,0.0,0.916667,0.0,12.0
C15981,1105.969915,0.0,0.0,0.0,291.608512,7.0,0,1200.0,366.079307,463.040434,0.0,1.0,0.0,0.0,0.0,0.416667,12.0
C12112,4612.935167,158.2,0.0,158.2,5391.599959,9.0,3,6000.0,756.247099,1379.468717,0.0,0.9,0.3,0.0,0.2,0.4,10.0
C13513,642.939211,0.0,0.0,0.0,1936.701702,5.0,0,1950.0,3997.53568,308.839052,0.25,0.545455,0.0,0.0,0.0,0.166667,12.0
C13625,41.301246,655.79,655.79,0.0,0.0,0.0,13,6000.0,685.985441,185.521414,1.0,1.0,1.0,1.0,0.0,0.0,12.0
C16600,3271.129597,4209.98,556.22,3653.76,1058.425793,9.0,74,10300.0,6965.162385,2492.306544,0.0,1.0,1.0,0.416667,1.0,0.416667,12.0
C18672,95.802358,218.96,0.0,218.96,0.0,0.0,10,2500.0,120.526564,161.17012,0.0,1.0,0.909091,0.0,0.909091,0.0,11.0
C13505,3333.963106,934.07,841.07,93.0,0.0,0.0,19,11500.0,867.272423,935.819727,0.0,1.0,0.916667,0.916667,0.416667,0.0,12.0
C10255,435.862142,1646.16,1023.42,622.74,0.0,0.0,33,12000.0,1055.835407,236.619362,0.0,1.0,1.0,0.583333,0.75,0.0,12.0
C18372,8.087225,515.0,0.0,515.0,0.0,0.0,17,3000.0,399.456368,14.574311,0.0,0.363636,0.833333,0.0,0.75,0.0,12.0
C12958,115.340163,54.67,0.0,54.67,727.568806,2.0,2,1200.0,410.867044,115.03558,0.0,1.0,0.166667,0.0,0.166667,0.166667,12.0
C17710,215.475718,670.65,300.0,370.65,0.0,0.0,18,3000.0,366.634123,185.037922,0.3,1.0,1.0,0.083333,0.916667,0.0,12.0
C11732,23.331936,1194.96,0.0,1194.96,0.0,0.0,17,1600.0,1381.551722,28.452913,0.0,0.454545,1.0,0.0,1.0,0.0,12.0
C16329,1328.483504,1507.26,1011.6,495.66,2554.86412,33.0,22,2000.0,2281.634116,926.600197,0.111111,0.909091,0.818182,0.636364,0.545455,0.727273,11.0
C16385,3269.961382,0.0,0.0,0.0,1722.645697,10.0,0,4000.0,949.187748,990.007312,0.0,1.0,0.0,0.0,0.0,0.416667,12.0
C18731,0.0,113.0,0.0,113.0,0.0,0.0,5,4000.0,268.521412,,0.0,0.0,0.333333,0.0,0.333333,0.0,12.0
C16940,1532.106106,1478.98,934.6,544.38,0.0,0.0,27,3000.0,1016.511227,377.143061,0.0,1.0,0.916667,0.25,0.833333,0.0,12.0
C12417,994.367302,0.0,0.0,0.0,4058.539188,15.0,0,10000.0,168.100048,237.414459,0.0,0.857143,0.0,0.0,0.0,0.571429,7.0
C19146,32.669762,340.0,0.0,340.0,0.0,0.0,8,1000.0,465.400577,80.708132,1.0,0.571429,0.571429,0.0,0.428571,0.0,7.0
C17981,25.201833,609.01,0.0,609.01,0.0,0.0,50,3000.0,513.138281,44.804433,0.181818,0.454545,1.0,0.0,1.0,0.0,12.0
C12230,1003.704494,50.0,50.0,0.0,457.650652,5.0,1,3500.0,3389.03546,260.16707,0.0,0.818182,0.083333,0.083333,0.0,0.25,12.0
C15353,77.523872,325.0,0.0,325.0,117.402685,2.0,10,6500.0,408.437645,208.322149,0.166667,1.0,0.833333,0.0,0.75,0.166667,12.0
C17499,677.778395,0.0,0.0,0.0,1361.306734,2.0,0,1500.0,1515.946459,143.812331,0.0,0.75,0.0,0.0,0.0,0.125,8.0
C16507,36.40909,1091.7,1091.7,0.0,226.784069,1.0,12,3000.0,2363.934071,160.554292,0.6,1.0,0.916667,0.916667,0.0,0.083333,12.0
C10728,1546.216153,0.0,0.0,0.0,2196.107878,5.0,0,3000.0,247.706733,310.58347,0.0,0.833333,0.0,0.0,0.0,0.166667,6.0
C17884,1.344661,785.9,0.0,785.9,0.0,0.0,20,3000.0,789.264325,0.319475,0.0,0.181818,1.0,0.0,1.0,0.0,12.0
C12459,126.289657,366.68,0.0,366.68,175.284005,2.0,4,3000.0,679.431948,126.692506,0.181818,0.909091,0.333333,0.0,0.333333,0.166667,12.0
C16291,2043.78838,0.0,0.0,0.0,5997.514998,9.0,0,6500.0,8075.826793,495.373116,0.25,1.0,0.0,0.0,0.0,0.5,12.0
C17441,290.079966,550.93,0.0,550.93,0.0,0.0,17,4000.0,579.825344,454.611106,0.0,1.0,0.583333,0.0,0.583333,0.0,12.0
C15233,1848.758853,3588.13,399.76,3188.37,0.0,0.0,62,6700.0,4923.193295,413.007713,0.0,1.0,1.0,0.583333,1.0,0.0,12.0
C17378,34.40685,133.0,0.0,133.0,0.0,0.0,6,1500.0,153.124928,152.925044,0.0,1.0,0.5,0.0,0.333333,0.0,12.0
C12010,8.286935,125.0,0.0,125.0,0.0,0.0,10,3000.0,125.140043,82.820029,0.2,0.727273,0.833333,0.0,0.75,0.0,12.0
C13517,3197.652201,0.0,0.0,0.0,4179.249342,2.0,0,5000.0,6103.93835,759.570108,0.083333,1.0,0.0,0.0,0.0,0.166667,12.0
C17376,1623.895229,0.0,0.0,0.0,352.784134,11.0,0,1700.0,729.695998,419.674095,0.0,1.0,0.0,0.0,0.0,0.583333,12.0
C14016,5797.6687,0.0,0.0,0.0,4639.195255,12.0,0,6000.0,1936.745052,2327.030849,0.0,1.0,0.0,0.0,0.0,0.666667,12.0
C19075,191.37693,510.0,0.0,780.0,0.0,0.0,7,1000.0,459.17484,128.231992,0.0,1.0,0.555556,0.0,0.444444,0.0,9.0
C10695,331.586253,3703.36,1653.98,2049.38,0.0,0.0,54,7500.0,3229.189675,195.370312,0.916667,1.0,1.0,1.0,1.0,0.0,12.0
C18464,792.349098,0.0,0.0,0.0,1795.077768,13.0,0,2000.0,219.603033,286.451636,0.0,0.555556,0.0,0.0,0.0,0.444444,9.0
C14269,48.933642,632.84,0.0,632.84,0.0,0.0,21,1500.0,626.111312,168.599543,1.0,1.0,1.0,0.0,1.0,0.0,12.0
C16526,6398.233171,0.0,0.0,0.0,233.38167,1.0,0,9500.0,1693.270011,2525.860166,0.0,1.0,0.0,0.0,0.0,0.083333,12.0
C13231,9629.808851,0.0,0.0,0.0,4372.393835,9.0,0,12000.0,2468.988022,2134.295731,0.0,1.0,0.0,0.0,0.0,0.545455,11.0
C15628,742.730997,6236.64,4613.7,1622.94,0.0,0.0,49,3750.0,8529.330225,256.82014,0.833333,1.0,1.0,1.0,1.0,0.0,12.0
C16888,605.744452,119.0,119.0,0.0,0.0,0.0,1,1800.0,253.057215,445.55812,0.0,1.0,0.083333,0.083333,0.0,0.0,12.0
C11637,2000.797758,1037.5,0.0,1037.5,0.0,,5,7500.0,1864.665644,450.605909,0.272727,1.0,0.416667,0.0,0.416667,0.0,12.0
C11459,697.525591,462.38,45.65,416.73,345.3272,1.0,12,1000.0,134.938594,376.703445,0.0,1.0,0.5,0.083333,0.5,0.083333,12.0
C13934,1863.787327,0.0,0.0,0.0,1998.061069,1.0,0,3000.0,749.522371,439.864871,0.0,1.0,0.0,0.0,0.0,0.083333,12.0
C10305,41.833264,456.36,0.0,456.36,0.0,0.0,14,6000.0,370.996177,163.287618,0.333333,1.0,1.0,0.0,0.916667,0.0,12.0
C13085,982.165343,435.72,45.65,390.07,0.0,0.0,20,2300.0,917.52463,1319.508567,0.0,1.0,0.5,0.083333,0.5,0.0,12.0
C16357,970.862162,563.82,563.82,0.0,0.0,0.0,10,2950.0,350.164857,373.629996,0.0,1.0,0.833333,0.833333,0.0,0.0,12.0
C13580,1710.418727,0.0,0.0,0.0,2813.620582,9.0,0,2500.0,1337.799917,508.122732,0.0,0.8,,0.0,0.0,0.3,10.0
C14140,379.542951,0.0,0.0,0.0,925.399531,1.0,0,1500.0,2651.530544,190.383316,0.166667,0.545455,0.0,0.0,0.0,0.083333,12.0
C11112,15.216647,133.0,133.0,0.0,0.0,0.0,2,1200.0,780.127863,89.546616,0.0,0.272727,0.166667,0.166667,0.0,0.0,12.0
C14058,4.160112,70.56,0.0,70.56,0.0,0.0,12,6000.0,54.598522,41.07052,0.222222,1.0,1.0,0.0,1.0,0.0,12.0
C17136,22.366132,502.54,502.54,0.0,0.0,0.0,8,450.0,907.540077,58.37452,0.0,0.636364,0.416667,0.416667,0.0,0.0,12.0
C16810,1465.996562,2498.92,222.99,2275.93,0.0,0.0,36,3500.0,676.452393,421.840324,0.0,1.0,1.0,0.166667,1.0,0.0,12.0
C16297,1621.219401,98.4,98.4,0.0,2745.571593,16.0,13,4000.0,3592.092848,567.227496,0.166667,1.0,1.0,1.0,0.0,0.583333,12.0
C18697,602.210858,965.0,965.0,0.0,0.0,0.0,5,1200.0,258.748232,210.582556,0.0,1.0,0.25,0.25,0.0,0.0,12.0
C13097,3380.990237,984.31,984.31,0.0,508.157584,4.0,12,3800.0,1694.781649,2591.170425,0.0,1.0,1.0,1.0,0.0,0.25,12.0
C15472,1952.189994,297.59,99.59,198.0,55.219714,2.0,7,2500.0,634.780319,658.460719,0.0,1.0,0.5,0.083333,0.416667,0.166667,12.0
C13147,216.595085,270.21,270.21,0.0,232.881575,2.0,12,6000.0,453.391188,199.633262,0.0,1.0,1.0,1.0,0.0,0.083333,12.0
C12370,986.583117,0.0,0.0,0.0,1350.155793,1.0,0,1500.0,276.229102,362.442402,0.0,0.727273,0.0,0.0,0.0,0.090909,11.0
C14363,1832.539694,1311.8,1076.16,235.64,0.0,0.0,30,2500.0,384.218293,652.773095,0.0,1.0,0.75,0.5,0.416667,0.0,12.0
C10714,1943.792266,83.35,0.0,83.35,0.0,0.0,1,4000.0,290.353132,276.463002,0.0,1.0,0.142857,0.0,0.142857,0.0,7.0
C18775,35.518273,283.8,0.0,283.8,0.0,0.0,10,2500.0,302.73613,171.008635,0.666667,0.909091,0.833333,0.0,0.75,0.0,12.0
C17220,73.635031,1063.65,420.24,643.41,0.0,0.0,29,7000.0,1051.282851,112.969341,0.625,0.909091,1.0,0.25,1.0,0.0,12.0
C12744,2376.965338,0.0,0.0,0.0,1321.906162,4.0,0,3000.0,549.457948,557.916999,0.0,1.0,0.0,0.0,0.0,0.333333,12.0
C17451,240.439583,481.01,481.01,0.0,461.403602,6.0,4,1200.0,139.715889,174.17913,0.0,0.545455,0.333333,0.333333,0.0,0.333333,12.0
C19048,385.462843,427.1,50.0,377.1,809.585272,6.0,25,1000.0,343.125132,334.254826,0.0,0.9,0.9,0.1,0.8,0.5,10.0
C17275,11.441738,93.6,0.0,93.6,0.0,0.0,3,1900.0,603.723258,130.224347,0.25,0.363636,0.25,0.0,0.25,0.0,12.0
C17846,349.788099,400.6,400.6,0.0,0.0,0.0,6,450.0,308.109946,170.326506,0.0,1.0,0.416667,0.416667,0.0,0.0,12.0
C16249,9749.239122,1552.63,0.0,1552.63,5139.766338,12.0,68,11000.0,2999.648846,4415.280009,0.0,1.0,1.0,0.0,1.0,0.416667,12.0
C17950,1.199105,20.0,20.0,0.0,0.0,0.0,1,500.0,182.462948,107.00915,0.0,0.272727,0.083333,0.083333,0.0,0.0,12.0
C10904,716.017731,0.0,0.0,0.0,3943.873219,4.0,0,12000.0,232.136896,267.035943,0.0,1.0,0.0,0.0,0.0,0.166667,12.0
C14217,2785.584338,0.0,0.0,0.0,144.330518,1.0,0,3000.0,446.776969,733.62973,0.0,1.0,0.0,0.0,0.0,0.1,10.0
C16337,2212.921154,52.9,52.9,0.0,2035.862807,19.0,1,3500.0,704.408044,601.028911,0.0,1.0,0.083333,0.083333,0.0,0.583333,12.0
